Thread ID: 213420
Total: 18.837325

 %self     total     self     wait    child    calls  name
 10.90      3.09     2.05     0.00     1.03     1100  Array#select
  5.57      3.92     1.05     0.00     2.88    34000  Fixnum#xchr
  5.30      1.00     1.00     0.00     0.00   203900  Hash#key?
  5.05     11.66     0.95     0.00    10.71     7502  Array#each
  4.15      5.09     0.78     0.00     4.31     8200  Array#map
  3.75      1.14     0.71     0.00     0.43   106401  Hash#[]
  3.63      1.14     0.68     0.00     0.46   100000  Kernel#===
  3.04      0.57     0.57     0.00     0.00   120600  Fixnum#==
  2.14      0.42     0.40     0.00     0.02    82000  Hash#default
  1.61      6.20     0.30     0.00     5.89     4600  Array#collect
  1.59      0.30     0.30     0.00     0.00    62700  Fixnum#<=>
  1.54      0.59     0.29     0.00     0.30    31300  Range#===
  1.39      0.26     0.26     0.00     0.00    54900  String#to_s
  1.24      0.24     0.23     0.00     0.00    43300  Hash#[]=
  1.13      8.47     0.21     0.00     8.25     5000  Array#each-1
  1.12      0.21     0.21     0.00     0.00     4000  Module#constants
  1.01      1.49     0.19     0.00     1.30      200  Kernel#load_without_new_constant_marking
  0.94      0.18     0.18     0.00     0.00    34000  Integer#chr
  0.90      0.17     0.17     0.00     0.00    35300  Fixnum#<
  0.89      0.28     0.17     0.00     0.11    21000  Set#add
  0.88      4.70     0.17     0.00     4.53     7400  String#to_xs
  0.88      0.41     0.17     0.00     0.24     1000  Integer#times-1
  0.85      0.27     0.16     0.00     0.11    20100  Set#delete
  0.74      0.98     0.14     0.00     0.85     2700  Hash#each
  0.68      0.20     0.13     0.00     0.07     5200  Array#each-3
  0.65      0.12     0.12     0.00     0.00    22600  Hash#delete
  0.58      5.46     0.11     0.00     5.35     2900  Array#each-2
  0.57      4.95     0.11     0.00     4.85     1600  Builder::XmlBase#method_missing-2
  0.51      4.53     0.10     0.00     4.43     6700  Builder::XmlBase#text!
  0.49      0.66     0.09     0.00     0.57     1000  SQLite3::ResultSet#next
  0.47      0.09     0.09     0.00     0.00    17400  String#<<
  0.47      0.09     0.09     0.00     0.00      200  Kernel#gem_original_require
  0.45      0.11     0.09     0.00     0.02     7200  String#gsub
  0.43      0.24     0.08     0.00     0.16     2200  Dependencies#qualified_const_defined?
  0.40      0.08     0.08     0.00     0.00     1500  Kernel#caller
  0.40      0.08     0.08     0.00     0.00    13300  Symbol#to_s
  0.36      4.77     0.07     0.00     4.70     7400  Builder::XmlBase#_escape
  0.35      0.07     0.07     0.00     0.00      300  Module#public_instance_methods
  0.35      3.73     0.07     0.00     3.66     5500  Class#new
  0.34      0.84     0.06     0.00     0.77     7600  Kernel#send-2
  0.33      1.37     0.06     0.00     1.31     2700  Builder::XmlBase#_indent
  0.32      0.93     0.06     0.00     0.87     1600  ActiveRecord::XmlSerializer::Attribute#compute_type
  0.32      5.22     0.06     0.00     5.16     1600  ActiveRecord::XmlSerializer#add_tag
  0.32      0.30     0.06     0.00     0.24     1500  Dependencies#log_call
  0.31      0.10     0.06     0.00     0.04      400  Hash#each_key
  0.30      0.06     0.06     0.00     0.00     1100  Array#-
  0.30      1.23     0.06     0.00     1.18      100  Dependencies#load_missing_constant-1
  0.30      0.06     0.06     0.00     0.00    11300  String#==
  0.29      0.05     0.05     0.00     0.00    11100  Module#===
  0.28      0.59     0.05     0.00     0.54     2100  Builder::XmlMarkup#_start_tag
  0.26      0.05     0.05     0.00     0.00     2300  Symbol#to_proc
  0.25      0.07     0.05     0.00     0.03     1200  Module#class_eval
  0.25      0.08     0.05     0.00     0.03     1600  ActiveRecord::XmlSerializer::Attribute#decorations
  0.25      0.12     0.05     0.00     0.08      800  Time#xmlschema
  0.25      4.85     0.05     0.00     4.80      400  Dependencies#new_constants_in
  0.25      0.05     0.05     0.00     0.00      600  Symbol#inspect
  0.25      0.05     0.05     0.00     0.00     7900  String#gsub!
  0.24      0.05     0.05     0.00     0.00     7700  Array#join
  0.24      0.05     0.05     0.00     0.00     9200  Kernel#is_a?
  0.24      0.04     0.04     0.00     0.00     7700  String#unpack
  0.23      0.66     0.04     0.00     0.61     2200  Builder::XmlMarkup#_insert_attributes
  0.23      0.04     0.04     0.00     0.00     8900  Array#<<
  0.23      0.04     0.04     0.00     0.00       18  Unknown#primary_key
  0.23      0.04     0.04     0.00     0.00     5100  String#split
  0.22      0.08     0.04     0.00     0.03     6700  Builder::XmlMarkup#_text
  0.22      0.52     0.04     0.00     0.48     2700  Builder::XmlBase#_newline
  0.21      0.93     0.04     0.00     0.89     3500  Enumerable#inject
  0.20      0.18     0.04     0.00     0.14     1000  ActiveRecord::AttributeMethods::ClassMethods#evaluate_attribute_method
  0.20      0.08     0.04     0.00     0.05     2200  Kernel#dup
  0.20      0.07     0.04     0.00     0.03     3200  Class#read_inheritable_attribute
  0.19      0.04     0.04     0.00     0.00     7300  Array#first
  0.19      0.17     0.04     0.00     0.13     5902  Object#returning
  0.19      0.05     0.04     0.00     0.01     2900  Dependencies#log
  0.19      0.08     0.04     0.00     0.05     3500  SQLite3::Driver::Native::Driver#column_text
  0.18      0.03     0.03     0.00     0.00     7100  Module#==
  0.18      0.13     0.03     0.00     0.10      800  <Class::ActiveRecord::ConnectionAdapters::Column>#fast_string_to_time
  0.18      7.85     0.03     0.00     7.82      400  Builder::XmlBase#method_missing-1
  0.18      1.87     0.03     0.00     1.83     1600  ActiveRecord::XmlSerializer::Attribute#initialize
  0.17      0.03     0.03     0.00     0.00     6600  <Class::Object>#allocate
  0.17      0.90     0.03     0.00     0.87     1600  ActiveRecord::XmlSerializer::Attribute#compute_value
  0.17      0.03     0.03     0.00     0.00     6600  Kernel#==
  0.17      0.03     0.03     0.00     0.00     6700  Symbol#===
  0.17      0.03     0.03     0.00     0.00     6300  Hash#has_key?
  0.17      0.03     0.03     0.00     0.00     6400  Kernel#class
  0.17      0.03     0.03     0.00     0.00     6000  String#to_i
  0.17      0.13     0.03     0.00     0.10     2900  Array#include?
  0.17      0.06     0.03     0.00     0.03     5000  Set#include?
  0.16      0.03     0.03     0.00     0.00      200  <Module::SQLite3::Driver::Native::API>#sqlite3_prepare
  0.16      0.03     0.03     0.00     0.00     5600  Module#const_get
  0.16      0.07     0.03     0.00     0.04     1200  ActiveRecord::AttributeMethods::ClassMethods#instance_method_already_implemented?
  0.16      4.00     0.03     0.00     3.97      200  Dependencies#load_missing_constant
  0.15      0.03     0.03     0.00     0.00     5900  Kernel#nil?
  0.15      0.47     0.03     0.00     0.45     1900  Builder::XmlMarkup#_attr_value
  0.14      3.50     0.03     0.00     3.47      200  Dependencies#require_or_load
  0.14      0.03     0.03     0.00     0.00     2100  <Class::File>#file?
  0.14      0.03     0.03     0.00     0.00     5200  Hash#include?
  0.14      0.03     0.03     0.00     0.00     4900  String#+
  0.14      0.03     0.03     0.00     0.00     4900  String#[]
  0.14      0.03     0.03     0.00     0.00     2000  Array#flatten
  0.14      0.03     0.03     0.00     0.00     2000  Hash#initialize_copy
  0.14      0.05     0.03     0.00     0.02     4000  SQLite3::Driver::Native::Driver#column_type
  0.14      0.04     0.03     0.00     0.02     1700  <Class::Object>#method_added
  0.13      8.83     0.03     0.00     8.80     1063  Proc#call
  0.13      0.17     0.02     0.00     0.14      400  ActiveRecord::AttributeMethods::ClassMethods#define_read_method
  0.13      3.48     0.02     0.00     3.45     1000  Module#local_constants
  0.12      0.02     0.02     0.00     0.00     3600  <Class::File>#expand_path
  0.12      0.02     0.02     0.00     0.00     4000  Module#name
  0.12      0.02     0.02     0.00     0.00     4000  <Module::SQLite3::Driver::Native::API>#sqlite3_column_type
  0.12      0.02     0.02     0.00     0.00     3500  <Module::SQLite3::Driver::Native::API>#sqlite3_column_text
  0.12      0.02     0.02     0.00     0.00     3600  Regexp#===
  0.11      7.32     0.02     0.00     7.30      400  Proc#call-3
  0.11      0.02     0.02     0.00     0.00     4400  Kernel#object_id
  0.11      0.08     0.02     0.00     0.06      400  ActiveRecord::Serialization::Serializer#serializable_attribute_names
  0.11      0.68     0.02     0.00     0.66      200  SQLite3::ResultSet#each
  0.11      0.19     0.02     0.00     0.16     1800  Class#new-1
  0.11      0.05     0.02     0.00     0.03     2100  ActiveSupport::CoreExtensions::String::Inflections#dasherize
  0.11      0.02     0.02     0.00     0.00     3600  Module#const_defined?
  0.11      4.98     0.02     0.00     4.96     1600  Builder::XmlBase#tag!-2
  0.11      0.02     0.02     0.00     0.00      100  <Module::SQLite3::Driver::Native::API>#sqlite3_open
  0.11     14.90     0.02     0.00    14.88     2500  Kernel#send
  0.11      0.05     0.02     0.00     0.03      800  <Class::ActiveRecord::ConnectionAdapters::Column>#new_time
  0.11      0.04     0.02     0.00     0.02     2100  Builder::XmlMarkup#_end_tag
  0.10     18.81     0.02     0.00    18.79      100  ActionController::Integration::Session#process
  0.10      0.03     0.02     0.00     0.01     1900  Enumerable#member?
  0.10      0.02     0.02     0.00     0.00     3600  <Class::Hash>#allocate
  0.10      0.02     0.02     0.00     0.00     3000  <Class::File>#join
  0.10      0.08     0.02     0.00     0.06      500  ActiveSupport::BufferedLogger#add
  0.10      0.03     0.02     0.00     0.01     1000  SQLite3::ResultSet#check
  0.10      2.57     0.02     0.00     2.55      800  Module#module_eval
  0.10      0.06     0.02     0.00     0.05     1900  <Class::ActiveRecord::Base>#serialized_attributes
  0.10      0.14     0.02     0.00     0.12      830  Proc#call-4
  0.10      0.02     0.02     0.00     0.00     3800  Kernel#block_given?
  0.10      0.02     0.02     0.00     0.00     2200  Hash#merge!
  0.10      0.02     0.02     0.00     0.00     1800  Kernel#sprintf
  0.10      0.16     0.02     0.00     0.14      800  <Class::ActiveRecord::ConnectionAdapters::Column>#string_to_time
  0.10      1.87     0.02     0.00     1.85      900  <Class::ActiveRecord::Base>#connection
  0.10      0.05     0.02     0.00     0.03      400  <Class::ActiveRecord::Base>#instantiate
  0.09      0.02     0.02     0.00     0.00     3600  String#empty?
  0.09      0.02     0.02     0.00     0.00     2600  String#blank?
  0.09      0.02     0.02     0.00     0.00     3500  Kernel#kind_of?
  0.09      3.23     0.02     0.00     3.22      200  Dependencies#load_file
  0.09      0.02     0.02     0.00     0.00     3300  Module#ancestors
  0.09      0.07     0.02     0.00     0.05      400  ActiveRecord::ConnectionAdapters::Column#initialize
  0.09      0.02     0.02     0.00     0.00     2300  String#inspect
  0.09      0.07     0.02     0.00     0.05      300  Dependencies#remove_constant
  0.09      0.03     0.02     0.00     0.02      500  Dependencies#to_constant_name
  0.09      0.04     0.02     0.00     0.02     2000  Kernel#extend
  0.09      0.06     0.02     0.00     0.04      800  Inflector#camelize
  0.09      0.03     0.02     0.00     0.01      700  Class#write_inheritable_attribute
  0.09      0.06     0.02     0.00     0.04      100  CGI#header
  0.08      0.02     0.02     0.00     0.00     2700  Kernel#respond_to?
  0.08      0.02     0.02     0.00     0.00     2900  String#to_sym
